"","df.COVID_DoG_Questions.1","df.COVID_DoG_Questions.2","df.COVID_DoG_Questions.3","df.COVID_DoG_Questions.4","df.COVID_DoG_Questions.5","df.COVID_DoG_Questions.6"
"1",120,120,120,150,120,1
"2",730,730,730,210,210,210
"3",4,120,2,28,42,21
"4",210,210,270,210,210,210
"5",730,730,730,730,730,730
"6",210,1095,730,1095,1095,210
"7",1,1,1,1,1,1
"8",1,1,3,2,3,1
"9",270,270,210,210,210,210
"10",2920,2920,2920,2920,2920,2920
"11",210,210,210,120,120,120
"12",1,1,1,1,1,1
"13",49,210,28,14,16,1
"14",390,390,390,390,210,210
"15",730,730,730,730,210,210
"16",4,14,21,42,21,3
"17",120,300,330,120,90,28
"18",210,210,210,210,90,1
"19",390,1095,210,210,210,210
"20",150,240,270,90,90,90
"21",390,390,390,210,210,120
"22",730,730,1,120,1,1
"23",1,1,1,1,1,1
"24",730,730,730,210,210,180
"25",730,1095,1,730,210,150
"26",240,1095,730,210,6,2
"27",730,730,730,730,730,730
"28",730,730,180,240,28,180
"29",210,90,210,90,210,210
"30",1460,1460,1460,1095,390,730
"31",730,730,210,730,210,1
"32",1,730,1,1,1,1
"33",730,730,730,730,730,210
"34",210,730,210,240,49,42
"35",390,270,210,330,330,210
"36",210,270,210,90,28,60
"37",730,300,730,210,210,120
"38",14,14,2,21,2,2
"39",730,1095,730,730,730,730
"40",330,210,90,21,35,6
"41",1,1,1,1,1,1
"42",730,2190,1095,1095,1095,730
"43",120,210,42,120,60,1
"44",730,730,730,730,210,210
"45",180,300,90,210,150,120
"46",210,730,35,730,90,21
"47",240,180,150,180,22,15
"48",3,2,4,4,3,2
"49",730,730,730,730,730,120
"50",210,210,210,210,210,210
"51",300,300,270,180,180,150
"52",730,730,730,730,730,730
"53",210,210,120,210,210,210
"54",1,1095,210,28,21,21
"55",1095,730,210,210,63,730
"56",1,1,1,1,1,1
"57",210,730,730,210,210,210
"58",730,1095,1095,180,180,120
"59",90,90,1,1,1,1
"60",730,730,240,210,150,90
"61",730,730,730,730,270,150
"62",60,60,60,14,2,1
"63",210,730,210,210,210,35
"64",730,1095,730,1095,210,210
"65",5,70,4,2920,98,240
"66",120,120,120,90,90,60
"67",300,330,180,730,730,120
"68",730,730,730,730,730,730
"69",210,2555,8,210,120,60
"70",210,210,210,270,120,120
"71",330,150,120,240,150,150
"72",330,150,77,35,1,1
"73",120,210,60,730,210,14
"74",330,730,730,77,16,6
"75",180,210,90,210,150,90
"76",210,330,90,210,210,150
"77",730,730,730,730,210,210
"78",240,730,15,300,35,6
"79",210,210,210,120,120,60
"80",210,210,1,1,1,1
"81",1460,1460,730,1095,730,210
"82",150,270,210,330,120,90
"83",210,210,210,210,210,210
"84",270,1095,330,730,49,3
"85",330,730,210,21,35,3
"86",90,15,210,60,60,2
"87",730,730,210,730,210,120
"88",730,730,240,180,120,90
"89",1095,1095,210,1095,360,120
"90",300,300,300,210,210,210
"91",570,570,180,240,21,240
"92",210,210,180,150,150,120
"93",1095,1095,730,730,730,330
"94",2555,390,28,390,150,91
"95",210,210,210,90,35,35
"96",730,730,730,210,210,210
"97",330,150,210,21,1,1
"98",270,210,210,210,63,63
"99",240,390,300,360,240,210
"100",210,4015,21,1,1,1
"101",1,210,1,1,1,1
"102",730,730,730,730,210,14
"103",730,1095,1095,730,63,210
"104",60,1095,210,330,330,330
"105",7,180,180,1,6,1
"106",1,1,1,1,1,1
"107",730,730,730,730,730,730
"108",11,49,1,1,1,1
"109",730,730,730,1095,730,730
"110",1095,1095,1095,1095,1095,1095
"111",730,730,730,330,60,2
"112",210,330,120,120,49,16
"113",210,210,120,210,210,11
"114",270,730,210,210,77,180
"115",270,730,150,210,150,120
"116",300,210,120,120,60,1
"117",210,300,300,120,35,8
"118",330,730,330,120,120,120
"119",28,150,1,1,1,1
"120",300,300,210,300,300,300
"121",210,210,150,120,120,90
"122",730,730,730,210,120,120
"123",730,730,300,730,120,1
"124",210,210,150,210,210,150
"125",330,150,150,120,180,35
"126",730,1095,210,730,730,210
"127",1095,1460,730,730,730,330
"128",210,330,330,120,120,90
"129",1,1,1,1,1,1
"130",210,210,210,150,150,14
"131",730,730,730,240,240,240
"132",360,360,360,360,360,360
"133",270,1095,270,210,210,180
"134",1095,1095,1095,1095,1095,730
"135",730,730,270,730,270,210
"136",330,210,270,330,210,90
"137",300,300,330,390,270,270
"138",1095,1095,1095,1095,1095,270
"139",300,730,300,210,210,150
"140",730,730,730,730,300,120
"141",730,570,730,730,300,300
"142",210,210,90,150,60,21
"143",210,730,210,120,1,1
"144",210,1095,1095,1095,90,90
"145",210,210,1,1,1,1
"146",210,730,120,120,60,60
"147",240,180,150,210,49,120
"148",270,1095,210,150,28,16
"149",8,210,9,35,8,2
"150",8,35,21,60,28,6
"151",730,730,730,730,730,210
"152",35,120,210,63,8,8
"153",1,1,1,1,1,1
"154",1,1,1,1,1,1
"155",730,730,120,120,120,8
"156",150,150,150,60,60,2
"157",730,730,730,730,730,730
"158",570,570,480,570,330,150
"159",730,730,300,730,210,150
"160",210,730,730,210,210,210
"161",1095,1095,1095,730,730,21
"162",270,90,90,90,8,8
"163",180,11315,120,270,21,4
"164",1095,1095,300,1095,1095,730
"165",210,210,210,210,180,120
"166",570,570,570,570,570,570
"167",730,1095,730,210,210,150
"168",390,330,1,1,1,1
"169",730,270,5,360,270,4
"170",90,90,120,49,28,1
"171",90,210,28,60,21,21
"172",390,390,210,210,90,60
"173",330,330,330,330,330,330
"174",300,300,300,300,300,300
"175",300,300,210,120,120,90
"176",730,1095,730,730,730,730
"177",330,730,730,330,1,1
"178",1,49,365,2,2,2
"179",240,210,150,120,6,120
"180",56,150,240,70,77,5
"181",1460,2190,240,730,730,730
"182",210,270,210,210,210,120
