"","Duration..in.seconds.","Q291","MCQ_1","MCQ_2","MCQ_3","MCQ_4","MCQ_5","MCQ_6","MCQ_7","MCQ_8","MCQ_9","MCQ_10","MCQ_11","MCQ_12","MCQ_13","MCQ_14","MCQ_15","MCQ_16","MCQ_17","MCQ_18","MCQ_19","MCQ_20","MCQ_21","MCQ_22","MCQ_23","MCQ_24","MCQ_25","MCQ_26","MCQ_27","COVID_DoG_Questions.1_1","COVID_DoG_Questions.1_2","COVID_DoG_Questions.1_3","COVID_DoG_Questions.1_4","COVID_DoG_Questions.1_5","COVID_DoG_Questions.1_6","COVID_DoG_Questions.2_1","COVID_DoG_Questions.2_2","COVID_DoG_Questions.2_3","COVID_DoG_Questions.2_4","COVID_DoG_Questions.2_5","COVID_DoG_Questions.2_6","PandemicLengthExpect.1_1","PandemicLengthExpect.2_1","COVID_DoG_Questions.1","COVID_DoG_Questions.2","COVID_DoG_Questions.3","COVID_DoG_Questions.4","COVID_DoG_Questions.5","COVID_DoG_Questions.6","PandemicLengthExpect.1","SocialNorms_Family_1","SocialNorms_Family_2","SocialNorms_Family_3","SocialNorms_Friends_1","SocialNorms_Friends_2","SocialNorms_Friends_3","SocialNorms_Stranger_1","SocialNorms_Stranger_2","SocialNorms_Stranger_3","PerceivedRisk_1","PerceivedRisk_2","PerceivedRisk_3","PerceivedRisk_4","PerceivedRisk_5","PerceivedRisk_6","PerceivedValue_1","PerceivedValue_2","PerceivedValue_3","PerceivedValue_4","PerceivedValue_5","PerceivedValue_6","GCS_1","GCS_2","GCS_3","attentioncheck_1","GCS_4","GCS_5","GCS_6","IUS_1","IUS_2","IUS_3","IUS_4","IUS_5","IUS_6","IUS_7","IUS_8","IUS_9","IUS_10","IUS_11","IUS_12","MFQpart1_1","MFQpart1_2","MFQpart1_3","MFQpart1_4","MFQpart1_5","MFQpart1_6","MFQpart1_7","MFQpart1_8","MFQpart1_9","MFQpart1_10","MFQpart1_11","MFQpart1_12","MFQpart1_13","MFQpart1_14","MFQpart1_15","MFQpart1_16","MFQ_part2_1","MFQ_part2_2","MFQ_part2_3","MFQ_part2_4","MFQ_part2_5","MFQ_part2_6","MFQ_part2_7","MFQ_part2_8","MFQ_part2_9","MFQ_part2_10","MFQ_part2_11","MFQ_part2_12","MFQ_part2_13","MFQ_part2_14","MFQ_part2_15","MFQ_part2_16","Disgust_1","Disgust_2","Disgust_3","Disgust_4","Disgust_5","Disgust_6","Disgust_7","Disgust_8","Disgust_9","Disgust_10","Disgust_11","Disgust_12","Disgust_13","Disgust_14","Disgust_15","Disgust_16","Disgust_17","Disgust_18","Disgust_19","Disgust_20","Disgust_21","SDRS.5_Q1","SDRS.5_Q2","SDRS.5_Q3","SDRS.5_Q4","SDRS.5_Q5","Worries_1","Worries_2","Worries_3","Worries_4","Worries_5","Worries_6","Worries_7","Worries_8","Worries_9","Worries_10","Worries_11","Worries_12","Worries_13","Worries_14","Worries_15","Worries_16","Worries_17","Worries_18","Worries_19","Worries_20","Worries_21","Worries_22","Worries_23","Worries_24","Problems_1","Problems_2","Problems_3","Problems_4","Problems_5","Problems_6","CheckingBeh_1","CheckingBeh_2","CheckingBeh_3","CheckingBeh_4","CheckingBeh_5","CheckingBeh_6","Impacts_financial1","Impacts_financial2","Impacts_financial3","Impacts_resource1","Impacts_resource2","Impacts_resource3","Impacts_psychology1","Impacts_psychology2","Impacts_psychology3","PersonalDiagnoses_1","PersonalDiagnoses_2","PersonalDiagnoses_3","Proximity_1","attentioncheck_2","Proximity_2","News_1","News_2","Age","Gender","MaritalStatus","Ethnicity","Race","Nationality","Education","Occupation","Measure2_2","Measure2_3","Measure2_4","Measure5_1","Measure5_4","Measure5_5","Measure5_6","Measure5_7","Measure5_8","Measure5_9","Measure5_10","Measure5_11","Measure5_12","Measure5_13","Measure5_14"
"13",493,"1","1","2","1","2","2","1","2","2","1","2","2","1","1","2","2","2","1","1","2","1","2","1","2","1","2","1","2","4","4","4","5","4","1","3","3","3","3","3","1","3","4",120,120,120,150,120,1,120,"4","4","4","4","4","4","2","2","2","2","3","2","1","1","1","2","1","1","1","2","2","4","4","5","4","4","3","4","3","3","2","3","2","2","2","2","3","3","3","3","2","5","1","4","2","1","3","5","4","2","3","5","5","3","3","1","4","5","4","4","5","6","5","6","5","4","4","2","3","2","4","3","1","2","4","2","1","4","2","1","3","4","2","2","3","1","2","2","5","4","2","3","4","3","5","3","2","2","1","1","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","1","1","1","1","1","1","6","1","1","7","1","1","7","1","1","1","1","3","1","1","1","39","1","1","2","5","US","5","assembler","1","1","1","50","50","66","12","8","82","51","50","72","51","70","51"
"14",277,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","2","2","2","7","7","7","4","4","4","3","3","3","4","2",730,730,730,210,210,210,730,"1","1","1","2","2","2","1","1","1","3","3","3","2","2","1","2","2","2","3","3","3","5","6","4","4","3","2","5","4","3","5","4","4","4","5","3","4","5","4","5","3","4","5","5","5","1","5","4","3","4","5","5","4","3","3","1","4","5","5","5","5","6","6","5","4","4","3","5","5","4","6","5","2","5","6","6","4","5","3","1","5","4","5","6","5","3","4","4","4","6","5","6","6","5","2","2","2","5","3","4","3","3","4","3","3","7","4","2","3","4","3","4","3","4","3","3","2","3","4","3","3","4","4","3","3","3","2","3","4","3","3","4","3","3","4","5","6","5","5","3","4","5","2","1","1","1","1","3","3","3","1","24","1","1","2","5","American","5","Information Technology","1","3","1","13","70","61","10","0","100","84","85","80","61","76","84"
"15",397,"1","1","1","1","2","2","1","2","2","1","1","2","1","1","2","1","1","1","1","2","1","2","1","2","1","2","1","2","4","4","2","4","6","3","1","3","1","2","2","2","3","9",4,120,2,28,42,21,270,"3","4","4","4","4","5","4","5","4","2","3","1","2","3","2","2","2","3","1","2","2","4","3","3","4","5","3","4","3","3","3","3","1","3","2","5","4","3","2","4","2","4","3","3","4","5","3","4","4","4","2","4","4","4","6","2","4","2","4","5","4","5","3","6","4","3","4","6","3","3","4","5","3","3","2","5","3","5","3","5","3","3","2","3","2","3","3","3","2","2","3","1","4","4","4","3","2","3","3","4","3","4","4","4","4","3","4","4","3","3","4","5","4","5","4","3","4","4","3","3","4","4","3","4","4","4","5","4","4","3","4","4","3","4","5","6","6","5","5","4","5","5","5","5","5","3","3","11","3","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",482,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","7","7","9","7","7","7","3","3","3","3","3","3","3","11",210,210,270,210,210,210,330,"1","1","1","1","1","1","5","5","5","3","3","3","2","2","2","3","3","3","2","2","1","4","5","4","4","4","3","4","5","5","5","5","5","5","5","5","5","5","5","5","6","5","1","4","5","1","6","5","4","1","6","6","6","3","6","1","6","6","1","3","6","6","6","6","2","1","6","2","6","4","6","1","2","1","6","4","1","6","4","1","4","5","2","4","5","1","5","4","1","4","4","1","5","2","2","2","1","1","5","5","5","6","5","4","1","1","1","1","1","1","1","1","1","1","1","1","5","5","5","4","1","1","4","1","4","3","3","2","3","1","1","3","3","3","1","1","7","1","1","7","6","6","1","1","7","4","7","3","7","2","1","32","1","1","2","5","American","3","Warehousing","5","1","1","100","100","0","0","100","0","0","0","100","100","100","0"
"17",555,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","4","4","4","4","4","4","4","3",730,730,730,730,730,730,1095,"1","1","1","1","1","1","2","2","2","3","3","3","3","3","3","3","3","3","3","2","2","3","3","2","4","3","6","2","3","3","3","2","2","2","2","2","2","3","2","3","3","4","1","3","1","1","3","3","3","2","2","3","5","1","5","1","4","3","3","2","2","6","5","5","3","4","2","2","2","2","3","1","2","2","4","2","2","2","2","2","2","3","4","3","5","3","4","2","3","4","3","2","4","2","2","2","2","2","3","3","3","3","3","3","2","2","2","2","2","2","2","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","3","3","3","3","3","3","3","3","4","4","4","4","4","1","1","1","1","3","2","3","3","55","1","2","2","5","usa","5","researcher","4","1","2","50","69","72","52","87","74","81","77","78","79","79","27"
"18",387,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","2","7","3","2","3","3","7","3","4","4","4","4","3","4","2",210,1095,730,1095,1095,210,730,"1","1","1","1","1","1","2","2","2","3","3","3","3","3","2","2","2","1","1","1","1","4","5","4","4","4","3","3","3","5","5","5","5","3","3","5","2","3","5","3","5","5","1","2","2","1","5","6","4","3","2","6","5","3","4","3","6","5","4","3","3","6","6","5","5","2","2","3","4","3","3","2","1","1","5","1","1","2","1","1","3","1","2","5","1","1","3","1","1","6","1","2","6","2","4","2","2","1","4","5","4","4","5","4","2","2","2","1","3","1","1","2","2","2","2","2","3","4","4","2","1","1","3","1","3","1","3","2","4","3","3","2","1","2","5","3","1","4","4","1","5","5","1","1","1","1","1","3","1","4","3","38","1","1","2","5","usa","6","research technician","2","1","1","49","54","58","70","71","7","56","52","62","66","73","12"
"19",422,"1","1","1","1","2","1","1","2","2","1","1","2","1","1","2","1","1","1","1","2","1","2","1","2","1","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","4","3",1,1,1,1,1,1,1095,"2","2","2","2","2","2","2","2","2","2","2","1","2","2","1","3","3","3","3","3","3","1","1","1","4","3","5","1","4","4","4","4","3","3","4","4","4","4","4","4","5","4","2","3","5","1","5","3","3","4","4","5","4","3","4","1","5","3","1","4","5","6","5","3","2","4","4","6","4","5","4","4","2","2","4","2","2","3","2","2","2","2","2","4","2","2","4","2","4","4","2","2","3","2","2","3","2","4","1","1","1","1","1","1","3","1","1","3","1","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","5","3","1","5","4","4","4","5","1","1","1","1","1","3","1","1","1","33","2","1","2","5","USA","5","educator","4","2","3","84","50","16","15","83","50","20","18","52","18","50","16"
"20",536,"1","2","1","1","1","2","1","2","2","1","1","2","1","2","2","1","1","1","1","2","2","1","2","2","1","1","1","1","1","1","3","2","3","1","1","1","1","1","1","1","3","9",1,1,3,2,3,1,270,"7","7","7","7","7","7","4","4","5","1","1","1","1","1","1","3","3","2","3","3","3","6","6","5","4","5","1","5","1","1","1","3","1","1","1","1","2","1","3","1","4","5","6","5","6","2","4","5","5","5","6","6","6","6","5","2","3","6","6","5","6","6","6","6","5","6","6","3","5","5","4","1","5","4","4","5","1","6","4","1","5","6","4","4","6","1","6","4","3","4","5","2","5","1","5","5","5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","1","1","1","2","1","1","7","1","1","7","1","1","7","1","1","1","1","3","1","1","1","39","1","1","2","5","usa","5","sales","1","4","1","0","89","81","52","50","100","100","100","91","81","80","98"
"21",571,"1","2","2","2","2","2","2","2","2","1","2","2","2","1","2","2","2","2","2","2","1","2","2","2","2","2","2","2","9","9","7","7","7","7","3","3","3","3","3","3","4","2",270,270,210,210,210,210,730,"1","1","1","1","1","1","1","1","1","3","3","3","2","2","2","2","2","3","3","3","2","5","5","5","4","5","2","5","2","2","2","2","1","1","2","3","3","2","2","2","6","6","1","6","4","1","6","6","6","1","1","6","6","6","5","3","6","6","1","2","4","6","6","6","3","3","3","5","4","3","2","2","4","5","6","6","5","5","6","3","5","6","5","6","6","6","6","6","6","6","6","6","6","1","5","5","5","1","3","3","3","3","3","3","1","1","1","1","1","1","1","1","1","1","1","1","2","2","3","3","3","2","1","1","1","1","1","1","3","3","2","1","1","1","7","7","1","1","1","1","2","4","3","1","1","2","1","3","1","1","1","31","1","1","2","5","united states","5","store manager","4","1","1","84","11","50","50","94","38","0","7","30","24","95","0"
"23",365,"1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","8","8","8","8","8","8","4","4","4","4","4","4","4","8",2920,2920,2920,2920,2920,2920,2920,"5","4","3","5","3","3","3","4","3","2","2","2","2","3","2","1","2","2","3","2","2","3","3","3","4","4","4","2","3","2","3","3","3","2","2","2","3","3","3","3","4","4","3","4","3","3","4","4","3","4","4","3","4","3","4","4","3","4","3","3","3","3","5","4","3","4","4","3","4","4","3","4","3","3","4","3","4","4","5","4","3","5","4","4","3","5","4","4","3","3","3","4","4","3","3","2","3","2","2","3","2","4","3","2","3","7","2","2","2","3","4","3","2","3","2","4","3","3","2","2","4","3","4","3","2","2","3","4","3","2","2","3","4","3","3","4","5","4","3","5","4","3","5","5","4","3","5","3","4","3","3","45","1","3","2","5","usa","3","csr","3","3","3","11","10","10","11","10","8","9","9","10","10","10","11"
